epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
0,uka,0.6160338521003723,0.6098044514656067,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.122086+02:00
1,uka,0.6098044514656067,0.6042639017105103,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.124558+02:00
2,uka,0.6042638421058655,0.5993003249168396,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.126890+02:00
3,uka,0.5993004441261292,0.5948213934898376,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.129047+02:00
4,uka,0.5948213934898376,0.5907496809959412,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.131229+02:00
5,uka,0.5907496809959412,0.5870212316513062,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.133399+02:00
6,uka,0.5870213508605957,0.5835826992988586,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.135570+02:00
7,uka,0.5835828185081482,0.5803894996643066,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.137742+02:00
8,uka,0.5803894996643066,0.5774043202400208,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.139961+02:00
9,uka,0.5774043202400208,0.5745959281921387,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.142070+02:00
10,uka,0.5745958685874939,0.5719382166862488,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.153387+02:00
11,uka,0.5719382762908936,0.5694094896316528,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.155499+02:00
12,uka,0.5694094300270081,0.5669910311698914,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.157613+02:00
13,uka,0.5669910311698914,0.5646677017211914,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.159700+02:00
14,uka,0.5646677017211914,0.562425971031189,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.161854+02:00
15,uka,0.5624259114265442,0.5602551102638245,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.163958+02:00
16,uka,0.5602551698684692,0.5581457614898682,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.166059+02:00
17,uka,0.5581458210945129,0.5560898780822754,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.168138+02:00
18,uka,0.5560898780822754,0.5540808439254761,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.170206+02:00
19,uka,0.5540808439254761,0.5521129965782166,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.172341+02:00
20,uka,0.5521129965782166,0.55018150806427,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.174400+02:00
21,uka,0.5501814484596252,0.548282265663147,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.176486+02:00
22,uka,0.548282265663147,0.5464115738868713,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.178542+02:00
23,uka,0.5464115738868713,0.5445667505264282,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.180619+02:00
24,uka,0.5445667505264282,0.5427449941635132,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.182693+02:00
25,uka,0.5427449345588684,0.5409442782402039,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.184775+02:00
26,uka,0.5409441590309143,0.5391626358032227,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.186833+02:00
27,uka,0.5391626358032227,0.5373983979225159,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.188890+02:00
28,uka,0.5373983383178711,0.5356504917144775,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.190971+02:00
29,uka,0.5356504917144775,0.5339173674583435,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.193034+02:00
30,uka,0.5339173078536987,0.5321981906890869,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.195070+02:00
31,uka,0.5321981310844421,0.5304919481277466,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.197120+02:00
32,uka,0.5304920077323914,0.5287980437278748,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.199151+02:00
33,uka,0.5287981033325195,0.5271158814430237,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.201210+02:00
34,uka,0.5271158218383789,0.5254446268081665,0.6857142857142857,nan,0.0,0.0,2021-10-15 15:24:46.203226+02:00
35,uka,0.5254446268081665,0.523783802986145,0.6928571428571428,1.0,0.022727272727272728,0.044444444444444446,2021-10-15 15:24:46.205256+02:00
36,uka,0.5237838625907898,0.5221332311630249,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.207285+02:00
37,uka,0.5221332311630249,0.5204922556877136,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.209324+02:00
38,uka,0.5204923748970032,0.5188608169555664,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.211378+02:00
39,uka,0.5188608169555664,0.5172383189201355,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.213425+02:00
40,uka,0.5172383785247803,0.5156247019767761,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.215448+02:00
41,uka,0.5156247019767761,0.5140197277069092,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.217491+02:00
42,uka,0.5140197277069092,0.5124229788780212,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.219517+02:00
43,uka,0.5124230980873108,0.5108346939086914,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.221656+02:00
44,uka,0.5108346939086914,0.5092542767524719,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.223746+02:00
45,uka,0.5092542767524719,0.5076818466186523,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.225825+02:00
46,uka,0.5076818466186523,0.5061171650886536,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.227911+02:00
47,uka,0.5061171650886536,0.5045601725578308,0.7071428571428572,1.0,0.06818181818181818,0.1276595744680851,2021-10-15 15:24:46.229985+02:00
